alcaldia,sexenio,score_total,score_presupuesto,score_plan,score_deuda,score_patrimonio,data_faltante
Azcapotzalco,2018-2024,81,96.6,98.4,65.9,,true
Benito Juárez,2018-2024,80,94.4,96.3,65.9,,true
Coyoacán,2018-2024,81,95.5,99.2,65.9,,true
Cuajimalpa de Morelos,2018-2024,82,97.1,99.0,65.9,,true
Cuauhtémoc,2018-2024,81,95.1,98.7,65.9,,true
Gustavo A. Madero,2018-2024,80,94.4,95.6,65.9,,true
Iztacalco,2018-2024,81,95.5,98.2,65.9,,true
Iztapalapa,2018-2024,81,97.1,97.1,65.9,,true
La Magdalena Contreras,2018-2024,80,93.3,98.9,65.9,,true
Miguel Hidalgo,2018-2024,80,95.7,94.7,65.9,,true
Milpa Alta,2018-2024,81,97.0,98.2,65.9,,true
Tlalpan,2018-2024,81,95.0,99.4,65.9,,true
Tláhuac,2018-2024,82,97.0,99.0,65.9,,true
Venustiano Carranza,2018-2024,81,96.4,99.0,65.9,,true
Xochimilco,2018-2024,82,98.0,98.0,65.9,,true
Álvaro Obregón,2018-2024,81,97.2,97.0,65.9,,true
